Sl. No,State/UT,District,Male - Total Male,Male - Male_Below 12 years,Male - Male_12 years & Above_Below 16 years,Male - Male_16 years & Above_Below 18 years,Male - Male_Children,Male - Male_18 years & Above,Female - Total Female,Female - Female_Below 12 years,Female - Female_12 years & Above_Below 16 years,Female - Female_16 years & Above_Below 18 years,Female - Female_Children,Female - Female_18 years & Above,Transgender - Total Transgender,Transgender - Transgender_Below 12 years,Transgender - Transgender_12 years & Above_Below 16 years,Transgender - Transgender_16 years & Above_Below 18 years,Transgender - Transgender_Children,Transgender - Transgender_18 years & Above,Total - Grand Total,Total - Total_Below 12 years,Total - Total_12 years & Above_Below 14 years,Total - Total_14 years & Above_Below 18 years,Total - Total_Children,Total - Total_18 years & Above
30,Telangana,Narayanpet,33,8,3,0,11,22,107,2,0,0,2,105,0,0,0,0,0,0,140,10,3,0,13,127
Total Districts,Total Districts,Total Districts,8935,652,477,319,1448,7487,13766,583,600,812,1995,11771,0,0,0,0,0,0,22701,1235,1077,1131,3443,19258
1,Tripura,Dhalai,45,0,1,0,1,44,116,0,1,2,3,113,0,0,0,0,0,0,161,0,2,2,4,157
2,Tripura,Gomati,48,0,0,0,0,48,174,1,0,10,11,163,0,0,0,0,0,0,222,1,0,10,11,211
3,Tripura,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Tripura,Kowai,35,0,0,0,0,35,64,0,0,0,0,64,0,0,0,0,0,0,99,0,0,0,0,99
5,Tripura,North,9,0,0,2,2,7,14,0,0,8,8,6,0,0,0,0,0,0,23,0,0,10,10,13
6,Tripura,Sipahijala,31,0,2,0,2,29,83,0,5,7,12,71,0,0,0,0,0,0,114,0,7,7,14,100
7,Tripura,South,52,10,0,2,12,40,155,0,6,10,16,139,0,0,0,0,0,0,207,10,6,12,28,179
8,Tripura,Unakoti,16,0,1,0,1,15,56,0,3,9,12,44,0,0,0,0,0,0,72,0,4,9,13,59
9,Tripura,West,162,2,3,1,6,156,471,3,23,14,40,431,0,0,0,0,0,0,633,5,26,15,46,587
Total Districts,Total Districts,Total Districts,398,12,7,5,24,374,1133,4,38,60,102,1031,0,0,0,0,0,0,1531,16,45,65,126,1405
1,Uttar Pradesh,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Uttar Pradesh,Aligarh,73,4,4,3,11,62,112,0,8,4,12,100,0,0,0,0,0,0,185,4,12,7,23,162
3,Uttar Pradesh,Prayagraj,158,1,11,8,20,138,247,1,26,39,66,181,0,0,0,0,0,0,405,2,37,47,86,319
4,Uttar Pradesh,Ambedkar Nagar,29,0,13,16,29,0,100,0,0,0,0,100,0,0,0,0,0,0,129,0,13,16,29,100
5,Uttar Pradesh,Amethi,27,1,3,3,7,20,38,0,6,11,17,21,0,0,0,0,0,0,65,1,9,14,24,41
6,Uttar Pradesh,Auraiya,24,0,2,0,2,22,27,0,2,2,4,23,0,0,0,0,0,0,51,0,4,2,6,45
7,Uttar Pradesh,Azamgarh,82,2,0,1,3,79,199,0,0,10,10,189,0,0,0,0,0,0,281,2,0,11,13,268
8,Uttar Pradesh,Badaun,76,2,11,1,14,62,122,4,14,6,24,98,0,0,0,0,0,0,198,6,25,7,38,160
9,Uttar Pradesh,Baghpat,74,1,8,1,10,64,126,0,7,8,15,111,0,0,0,0,0,0,200,1,15,9,25,175
10,Uttar Pradesh,Bahraich,118,10,33,12,55,63,145,2,20,26,48,97,0,0,0,0,0,0,263,12,53,38,103,160
11,Uttar Pradesh,Ballia,132,9,5,4,18,114,225,6,12,10,28,197,0,0,0,0,0,0,357,15,17,14,46,311
12,Uttar Pradesh,Balrampur,19,1,3,14,18,1,176,1,9,12,22,154,0,0,0,0,0,0,195,2,12,26,40,155
13,Uttar Pradesh,Banda,22,1,5,1,7,15,62,0,7,20,27,35,0,0,0,0,0,0,84,1,12,21,34,50
14,Uttar Pradesh,Barabanki,100,14,41,3,58,42,121,10,43,15,68,53,0,0,0,0,0,0,221,24,84,18,126,95
15,Uttar Pradesh,Bareilly,81,3,9,6,18,63,87,1,6,6,13,74,0,0,0,0,0,0,168,4,15,12,31,137
16,Uttar Pradesh,Basti,45,2,5,2,9,36,112,3,7,11,21,91,0,0,0,0,0,0,157,5,12,13,30,127
17,Uttar Pradesh,Bijnor,102,2,1,11,14,88,166,0,12,15,27,139,0,0,0,0,0,0,268,2,13,26,41,227
18,Uttar Pradesh,Bulandshahar,60,1,1,2,4,56,96,0,0,17,17,79,0,0,0,0,0,0,156,1,1,19,21,135
19,Uttar Pradesh,Chandoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Uttar Pradesh,Chitrakoot,9,1,2,2,5,4,16,1,3,3,7,9,0,0,0,0,0,0,25,2,5,5,12,13
21,Uttar Pradesh,Deoria,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,4,0,0,4,4,0
22,Uttar Pradesh,Etah,25,0,5,0,5,20,46,0,3,3,6,40,0,0,0,0,0,0,71,0,8,3,11,60
23,Uttar Pradesh,Etawah,71,7,18,9,34,37,141,1,8,36,45,96,0,0,0,0,0,0,212,8,26,45,79,133
24,Uttar Pradesh,Ayodhya,42,3,5,3,11,31,70,0,21,4,25,45,0,0,0,0,0,0,112,3,26,7,36,76
25,Uttar Pradesh,Fatehgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Uttar Pradesh,Fatehpur,122,62,5,0,67,55,143,0,16,0,16,127,0,0,0,0,0,0,265,62,21,0,83,182
27,Uttar Pradesh,Firozabad,2,0,0,2,2,0,6,0,1,5,6,0,0,0,0,0,0,0,8,0,1,7,8,0
28,Uttar Pradesh,GRP,21,6,0,0,6,15,31,4,1,0,5,26,0,0,0,0,0,0,52,10,1,0,11,41
29,Uttar Pradesh,Gautambudh Nagar,250,10,11,4,25,225,505,3,40,52,95,410,0,0,0,0,0,0,755,13,51,56,120,635
30,Uttar Pradesh,Ghaziabad,180,3,21,2,26,154,266,4,26,41,71,195,0,0,0,0,0,0,446,7,47,43,97,349
31,Uttar Pradesh,Ghazipur,148,35,22,14,71,77,279,10,82,57,149,130,0,0,0,0,0,0,427,45,104,71,220,207
32,Uttar Pradesh,Gonda,36,0,1,0,1,35,75,0,5,14,19,56,0,0,0,0,0,0,111,0,6,14,20,91
33,Uttar Pradesh,Gorakhpur,110,1,4,1,6,104,162,2,7,2,11,151,0,0,0,0,0,0,272,3,11,3,17,255
34,Uttar Pradesh,Hamirpur,21,1,5,7,13,8,165,0,41,72,113,52,0,0,0,0,0,0,186,1,46,79,126,60
35,Uttar Pradesh,Hapur,98,10,12,5,27,71,137,2,25,22,49,88,0,0,0,0,0,0,235,12,37,27,76,159
36,Uttar Pradesh,Hardoi,56,3,4,3,10,46,94,1,11,21,33,61,0,0,0,0,0,0,150,4,15,24,43,107
37,Uttar Pradesh,Hathras,30,5,3,0,8,22,61,1,4,5,10,51,0,0,0,0,0,0,91,6,7,5,18,73
38,Uttar Pradesh,Jalaun,28,0,0,0,0,28,2,0,2,0,2,0,0,0,0,0,0,0,30,0,2,0,2,28
39,Uttar Pradesh,Jaunpur,25,2,2,2,6,19,60,1,1,9,11,49,0,0,0,0,0,0,85,3,3,11,17,68
40,Uttar Pradesh,Jhansi,237,5,17,6,28,209,208,1,10,13,24,184,0,0,0,0,0,0,445,6,27,19,52,393
41,Uttar Pradesh,Kannauj,58,4,7,4,15,43,125,5,22,38,65,60,0,0,0,0,0,0,183,9,29,42,80,103
42,Uttar Pradesh,Kanpur Dehat,3,0,3,0,3,0,8,0,4,0,4,4,0,0,0,0,0,0,11,0,7,0,7,4
43,Uttar Pradesh,Kanpur Commissionarate,346,12,48,58,118,228,424,9,63,71,143,281,0,0,0,0,0,0,770,21,111,129,261,509
44,Uttar Pradesh,Kasganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Uttar Pradesh,Kaushambi,0,0,0,0,0,0,54,0,9,45,54,0,156,0,58,98,156,0,210,0,67,143,210,0
46,Uttar Pradesh,Khiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Uttar Pradesh,Kushi Nagar,8,0,1,1,2,6,35,1,8,5,14,21,0,0,0,0,0,0,43,1,9,6,16,27
48,Uttar Pradesh,Lalitpur,21,0,19,2,21,0,103,0,62,41,103,0,0,0,0,0,0,0,124,0,81,43,124,0
49,Uttar Pradesh,Lucknow Commissionarate,157,47,96,14,157,0,180,19,125,36,180,0,0,0,0,0,0,0,337,66,221,50,337,0
50,Uttar Pradesh,Maharajganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Uttar Pradesh,Mahoba,11,3,6,2,11,0,25,6,13,6,25,0,0,0,0,0,0,0,36,9,19,8,36,0
52,Uttar Pradesh,Mainpuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Uttar Pradesh,Mathura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Uttar Pradesh,Mau,20,1,0,2,3,17,35,0,0,2,2,33,0,0,0,0,0,0,55,1,0,4,5,50
55,Uttar Pradesh,Meerut,122,4,4,3,11,111,112,2,7,3,12,100,0,0,0,0,0,0,234,6,11,6,23,211
56,Uttar Pradesh,Mirzapur,56,3,5,3,11,45,131,1,11,20,32,99,0,0,0,0,0,0,187,4,16,23,43,144
57,Uttar Pradesh,Moradabad,0,0,0,0,0,0,72,0,7,0,7,65,0,0,0,0,0,0,72,0,7,0,7,65
58,Uttar Pradesh,Muzaffarnagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Uttar Pradesh,Pilibhit,104,1,3,1,5,99,93,0,0,0,0,93,0,0,0,0,0,0,197,1,3,1,5,192
60,Uttar Pradesh,Pratapgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Uttar Pradesh,Raibareilly,43,0,3,5,8,35,93,0,10,22,32,61,0,0,0,0,0,0,136,0,13,27,40,96
62,Uttar Pradesh,Rampur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Uttar Pradesh,Saharanpur,109,3,4,5,12,97,112,2,2,8,12,100,0,0,0,0,0,0,221,5,6,13,24,197
64,Uttar Pradesh,Sambhal,28,2,0,2,4,24,45,0,3,6,9,36,0,0,0,0,0,0,73,2,3,8,13,60
65,Uttar Pradesh,Sant Kabirnagar,27,1,3,2,6,21,136,3,22,23,48,88,0,0,0,0,0,0,163,4,25,25,54,109
66,Uttar Pradesh,Shahjahanpur,62,3,10,5,18,44,116,3,10,20,33,83,0,0,0,0,0,0,178,6,20,25,51,127
67,Uttar Pradesh,Shamli,49,0,3,1,4,45,48,1,1,2,4,44,0,0,0,0,0,0,97,1,4,3,8,89
68,Uttar Pradesh,Shrawasti,23,4,7,0,11,12,40,1,4,2,7,33,0,0,0,0,0,0,63,5,11,2,18,45
69,Uttar Pradesh,Sidharthnagar,53,0,3,2,5,48,163,0,2,4,6,157,0,0,0,0,0,0,216,0,5,6,11,205
70,Uttar Pradesh,Sitapur,173,4,12,17,33,140,169,1,11,13,25,144,0,0,0,0,0,0,342,5,23,30,58,284
71,Uttar Pradesh,Sonbhadra,67,1,6,4,11,56,145,3,7,14,24,121,0,0,0,0,0,0,212,4,13,18,35,177
72,Uttar Pradesh,Bhadohi,22,1,14,7,22,0,32,0,27,5,32,0,0,0,0,0,0,0,54,1,41,12,54,0
73,Uttar Pradesh,Sultanpur,25,2,3,0,5,20,11,0,0,3,3,8,0,0,0,0,0,0,36,2,3,3,8,28
74,Uttar Pradesh,Unnao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Uttar Pradesh,Varanasi Commissionarate,224,0,14,19,33,191,239,0,31,34,65,174,0,0,0,0,0,0,463,0,45,53,98,365
76,Uttar Pradesh,Lucknow Grameen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Uttar Pradesh,Kanpur Outer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Uttar Pradesh,Vasanasi Dehat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Districts,Total Districts,Total Districts,4544,304,566,307,1177,3367,7378,116,947,998,2061,5317,156,0,58,98,156,0,12078,420,1571,1403,3394,8684
1,Uttarakhand,Almora,48,0,0,6,6,42,57,0,3,10,13,44,0,0,0,0,0,0,105,0,3,16,19,86
2,Uttarakhand,Bageshwar,28,0,2,3,5,23,34,0,6,2,8,26,0,0,0,0,0,0,62,0,8,5,13,49
3,Uttarakhand,Chamoli,26,0,0,3,3,23,35,0,0,9,9,26,0,0,0,0,0,0,61,0,0,12,12,49
4,Uttarakhand,Champawat,51,0,5,5,10,41,65,0,7,10,17,48,0,0,0,0,0,0,116,0,12,15,27,89
5,Uttarakhand,Dehradun,384,1,7,1,9,375,439,0,5,4,9,430,0,0,0,0,0,0,823,1,12,5,18,805
6,Uttarakhand,Haridwar,492,6,46,44,96,396,417,0,53,50,103,314,0,0,0,0,0,0,909,6,99,94,199,710
7,Uttarakhand,Nainital,194,0,4,20,24,170,228,0,3,60,63,165,0,0,0,0,0,0,422,0,7,80,87,335
8,Uttarakhand,Pauri Garhwal,48,0,6,2,8,40,66,0,8,0,8,58,0,0,0,0,0,0,114,0,14,2,16,98
9,Uttarakhand,Pithoragarh,26,0,5,5,10,16,40,0,8,14,22,18,0,0,0,0,0,0,66,0,13,19,32,34
10,Uttarakhand,Rudra Prayag,13,0,1,0,1,12,21,0,0,6,6,15,0,0,0,0,0,0,34,0,1,6,7,27
11,Uttarakhand,Tehri Garhwal,37,1,5,1,7,30,67,2,6,10,18,49,0,0,0,0,0,0,104,3,11,11,25,79
12,Uttarakhand,Udhamsingh Nagar,284,0,13,30,43,241,561,2,54,90,146,415,0,0,0,0,0,0,845,2,67,120,189,656
13,Uttarakhand,Uttarkashi,29,0,1,2,3,26,26,0,0,3,3,23,0,0,0,0,0,0,55,0,1,5,6,49
14,Uttarakhand,GRP,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4
15,Uttarakhand,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Districts,Total Districts,Total Districts,1663,8,95,122,225,1438,2057,4,153,268,425,1632,0,0,0,0,0,0,3720,12,248,390,650,3070
1,West Bengal,Alipurduar,352,5,10,10,25,327,935,1,44,100,145,790,0,0,0,0,0,0,1287,6,54,110,170,1117
2,West Bengal,Asansol-Durgapur PC,756,9,16,16,41,715,899,5,40,93,138,761,0,0,0,0,0,0,1655,14,56,109,179,1476
3,West Bengal,Bankura,437,0,4,5,9,428,1035,0,70,168,238,797,0,0,0,0,0,0,1472,0,74,173,247,1225
4,West Bengal,Barrackpur PC,1305,22,50,43,115,1190,1781,11,200,179,390,1391,0,0,0,0,0,0,3086,33,250,222,505,2581
5,West Bengal,Bidhannagar PC,410,12,23,11,46,364,571,2,65,54,121,450,0,0,0,0,0,0,981,14,88,65,167,814
6,West Bengal,Birbhum,375,4,10,4,18,357,755,4,33,54,91,664,0,0,0,0,0,0,1130,8,43,58,109,1021
7,West Bengal,Coochbehar,545,3,22,25,50,495,1794,5,30,486,521,1273,0,0,0,0,0,0,2339,8,52,511,571,1768
8,West Bengal,Dakshin Dinajpur,377,9,14,20,43,334,1363,14,138,219,371,992,0,0,0,0,0,0,1740,23,152,239,414,1326
9,West Bengal,Darjeeling,121,3,0,1,4,117,278,4,6,15,25,253,0,0,0,0,0,0,399,7,6,16,29,370
10,West Bengal,Hooghly Rural Police,446,3,8,13,24,422,1144,6,96,149,251,893,0,0,0,0,0,0,1590,9,104,162,275,1315
11,West Bengal,Howrah GRP,10,0,0,0,0,10,7,0,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,17
12,West Bengal,Howrah PC,897,27,34,28,89,808,1158,13,126,156,295,863,0,0,0,0,0,0,2055,40,160,184,384,1671
13,West Bengal,Howrah Rural,374,8,12,4,24,350,1038,6,111,178,295,743,0,0,0,0,0,0,1412,14,123,182,319,1093
14,West Bengal,Jalpaiguri,346,2,5,14,21,325,1030,4,68,132,204,826,0,0,0,0,0,0,1376,6,73,146,225,1151
15,West Bengal,Jhargram,117,2,4,0,6,111,369,2,30,83,115,254,0,0,0,0,0,0,486,4,34,83,121,365
16,West Bengal,Kharagpur GRP,14,0,0,0,0,14,1,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,15
17,West Bengal,Kolkata,2228,55,124,72,251,1977,2226,30,240,282,552,1674,0,0,0,0,0,0,4454,85,364,354,803,3651
18,West Bengal,Malda,668,14,49,43,106,562,2093,152,333,175,660,1433,0,0,0,0,0,0,2761,166,382,218,766,1995
19,West Bengal,Murshidabad Police District,774,21,43,122,186,588,1740,49,127,209,385,1355,0,0,0,0,0,0,2514,70,170,331,571,1943
20,West Bengal,Paschim Medinipur,677,10,22,20,52,625,2257,11,338,519,868,1389,0,0,0,0,0,0,2934,21,360,539,920,2014
21,West Bengal,Purab Medinipur,573,42,11,13,66,507,2334,41,361,461,863,1471,0,0,0,0,0,0,2907,83,372,474,929,1978
22,West Bengal,Purulia,220,3,8,5,16,204,490,1,32,58,91,399,0,0,0,0,0,0,710,4,40,63,107,603
23,West Bengal,Sealdah GRP,22,2,1,0,3,19,18,1,4,1,6,12,0,0,0,0,0,0,40,3,5,1,9,31
24,West Bengal,Siliguri GRP,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4
25,West Bengal,Siliguri PC,560,16,21,24,61,499,1017,27,98,138,263,754,0,0,0,0,0,0,1577,43,119,162,324,1253
26,West Bengal,Baruipur Police,732,16,32,18,66,666,1622,14,232,254,500,1122,0,0,0,0,0,0,2354,30,264,272,566,1788
27,West Bengal,Chandannagar PC,450,5,16,13,34,416,540,5,36,51,92,448,0,0,0,0,0,0,990,10,52,64,126,864
28,West Bengal,Diamond Harbour Police,622,5,16,9,30,592,1228,2,96,107,205,1023,0,0,0,0,0,0,1850,7,112,116,235,1615
29,West Bengal,Kalimpong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,West Bengal,Purba Bardhaman,772,14,18,14,46,726,2181,10,228,383,621,1560,0,0,0,0,0,0,2953,24,246,397,667,2286
31,West Bengal,Sundarban Police,279,12,9,17,38,241,1067,14,125,205,344,723,0,0,0,0,0,0,1346,26,134,222,382,964
32,West Bengal,Barasat,794,20,45,19,84,710,1666,89,241,106,436,1230,0,0,0,0,0,0,2460,109,286,125,520,1940
33,West Bengal,Basirhat,358,0,25,0,25,333,774,0,387,0,387,387,0,0,0,0,0,0,1132,0,412,0,412,720
34,West Bengal,Bangaon,282,5,13,12,30,252,1094,14,25,243,282,812,0,0,0,0,0,0,1376,19,38,255,312,1064
35,West Bengal,Islampur,197,0,0,19,19,178,520,0,0,117,117,403,0,0,0,0,0,0,717,0,0,136,136,581
36,West Bengal,Jangipur Police District,344,0,3,4,7,337,523,0,7,10,17,506,0,0,0,0,0,0,867,0,10,14,24,843
37,West Bengal,Krishnagar,258,2,8,21,31,227,2081,7,192,387,586,1495,0,0,0,0,0,0,2339,9,200,408,617,1722
38,West Bengal,Raiganj,176,3,8,3,14,162,540,1,29,34,64,476,0,0,0,0,0,0,716,4,37,37,78,638
39,West Bengal,Ranaghat,275,0,11,193,204,71,555,0,17,15,32,523,0,0,0,0,0,0,830,0,28,208,236,594
Total Districts,Total Districts,Total Districts,18146,354,695,835,1884,16262,40725,545,4205,5821,10571,30154,0,0,0,0,0,0,58871,899,4900,6656,12455,46416
1,Andaman and Nicobar Islands,South Andaman,60,2,2,4,8,52,72,6,8,8,22,50,0,0,0,0,0,0,132,8,10,12,30,102
2,Andaman and Nicobar Islands,North & Middle Andaman,13,2,0,1,3,10,12,1,2,1,4,8,0,0,0,0,0,0,25,3,2,2,7,18
3,Andaman and Nicobar Islands,Nicobar,4,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5
Total Districts,Total Districts,Total Districts,77,4,2,5,11,66,85,7,10,9,26,59,0,0,0,0,0,0,162,11,12,14,37,125
1,Chandigarh,Chandigarh,309,11,14,10,35,274,473,9,48,76,133,340,1,0,0,0,0,1,783,20,62,86,168,615
Total Districts,Total Districts,Total Districts,309,11,14,10,35,274,473,9,48,76,133,340,1,0,0,0,0,1,783,20,62,86,168,615
1,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,28,0,0,0,0,28,65,0,0,0,0,65,0,0,0,0,0,0,93,0,0,0,0,93
2,Dadra and Nagar Haveli and Daman and Diu,Daman,43,0,0,1,1,42,65,0,3,3,6,59,0,0,0,0,0,0,108,0,3,4,7,101
3,Dadra and Nagar Haveli and Daman and Diu,Diu,9,0,0,3,3,6,5,0,0,1,1,4,0,0,0,0,0,0,14,0,0,4,4,10
Total Districts,Total Districts,Total Districts,80,0,0,4,4,76,135,0,3,4,7,128,0,0,0,0,0,0,215,0,3,8,11,204
1,Delhi,Central,448,38,40,18,96,352,487,22,74,89,185,302,0,0,0,0,0,0,935,60,114,107,281,654
2,Delhi,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Delhi,East,515,23,35,14,72,443,733,7,138,68,213,520,0,0,0,0,0,0,1248,30,173,82,285,963
4,Delhi,EOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Delhi,IGI Airport,26,0,0,0,0,26,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29
6,Delhi,Metro,9,0,1,0,1,8,10,2,1,1,4,6,0,0,0,0,0,0,19,2,2,1,5,14
7,Delhi,New Delhi,74,1,8,7,16,58,62,3,4,13,20,42,0,0,0,0,0,0,136,4,12,20,36,100
8,Delhi,North,558,30,44,39,113,445,616,73,107,33,213,403,0,0,0,0,0,0,1174,103,151,72,326,848
9,Delhi,North-East,1048,50,95,35,180,868,1314,19,220,110,349,965,0,0,0,0,0,0,2362,69,315,145,529,1833
10,Delhi,North-West,531,26,60,17,103,428,706,23,142,76,241,465,0,0,0,0,0,0,1237,49,202,93,344,893
11,Delhi,Outer,916,22,73,48,143,773,1362,17,132,187,336,1026,0,0,0,0,0,0,2278,39,205,235,479,1799
12,Delhi,RAILWAY,38,4,0,0,4,34,45,3,6,2,11,34,0,0,0,0,0,0,83,7,6,2,15,68
13,Delhi,South,584,15,41,35,91,493,951,9,134,146,289,662,28,2,4,4,10,18,1563,26,179,185,390,1173
14,Delhi,South-East,768,36,84,42,162,606,1136,13,171,216,400,736,0,0,0,0,0,0,1904,49,255,258,562,1342
15,Delhi,South-West,577,31,52,15,98,479,859,21,170,71,262,597,0,0,0,0,0,0,1436,52,222,86,360,1076
16,Delhi,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Delhi,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Delhi,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Delhi,West,617,17,30,24,71,546,886,21,133,113,267,619,0,0,0,0,0,0,1503,38,163,137,338,1165
20,Delhi,Rohini,785,71,61,47,179,606,1012,60,129,149,338,674,0,0,0,0,0,0,1797,131,190,196,517,1280
21,Delhi,Shahdara,599,25,58,10,93,506,735,15,121,59,195,540,0,0,0,0,0,0,1334,40,179,69,288,1046
22,Delhi,Dwarka,836,44,74,21,139,697,1273,22,241,91,354,919,0,0,0,0,0,0,2109,66,315,112,493,1616
23,Delhi,Outer North,1028,134,122,35,291,737,1693,85,399,127,611,1082,0,0,0,0,0,0,2721,219,521,162,902,1819
Total Districts,Total Districts,Total Districts,9957,567,878,407,1852,8105,13883,415,2322,1551,4288,9595,28,2,4,4,10,18,23868,984,3204,1962,6150,17718
1,Jammu and Kashmir,Anantnag,72,1,1,1,3,69,64,1,0,14,15,49,0,0,0,0,0,0,136,2,1,15,18,118
2,Jammu and Kashmir,Awantipora,16,0,1,0,1,15,13,0,0,0,0,13,0,0,0,0,0,0,29,0,1,0,1,28
3,Jammu and Kashmir,Bandipora,22,1,4,3,8,14,33,0,1,1,2,31,0,0,0,0,0,0,55,1,5,4,10,45
4,Jammu and Kashmir,Baramulla,0,0,0,0,0,0,52,0,0,25,25,27,0,0,0,0,0,0,52,0,0,25,25,27
5,Jammu and Kashmir,Budgam,43,0,0,0,0,43,68,0,0,0,0,68,0,0,0,0,0,0,111,0,0,0,0,111
6,Jammu and Kashmir,Special Crime Wing Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Jammu and Kashmir,Special Crime Wing Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Jammu and Kashmir,Doda,19,0,1,0,1,18,73,0,5,0,5,68,0,0,0,0,0,0,92,0,6,0,6,86
9,Jammu and Kashmir,Ganderbal,42,0,2,6,8,34,40,0,1,6,7,33,0,0,0,0,0,0,82,0,3,12,15,67
10,Jammu and Kashmir,Handwara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jammu and Kashmir,Jammu,393,0,0,0,0,393,256,0,0,0,0,256,0,0,0,0,0,0,649,0,0,0,0,649
12,Jammu and Kashmir,Kathua,45,2,4,4,10,35,208,10,5,29,44,164,0,0,0,0,0,0,253,12,9,33,54,199
13,Jammu and Kashmir,Kishtwar,15,2,2,0,4,11,40,0,0,0,0,40,0,0,0,0,0,0,55,2,2,0,4,51
14,Jammu and Kashmir,Kulgam,26,0,0,0,0,26,16,1,0,0,1,15,0,0,0,0,0,0,42,1,0,0,1,41
15,Jammu and Kashmir,Kupwara,36,2,3,0,5,31,67,0,0,0,0,67,0,0,0,0,0,0,103,2,3,0,5,98
16,Jammu and Kashmir,Poonch,26,1,2,1,4,22,102,1,0,0,1,101,0,0,0,0,0,0,128,2,2,1,5,123
17,Jammu and Kashmir,Pulwama,41,0,0,0,0,41,19,0,0,0,0,19,0,0,0,0,0,0,60,0,0,0,0,60
18,Jammu and Kashmir,Railways Jammu,7,0,0,1,1,6,2,0,0,0,0,2,0,0,0,0,0,0,9,0,0,1,1,8
19,Jammu and Kashmir,Railways Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Jammu and Kashmir,Railways Katra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Jammu and Kashmir,Rajouri,35,0,2,0,2,33,118,0,1,1,2,116,0,0,0,0,0,0,153,0,3,1,4,149
22,Jammu and Kashmir,Ramban,14,0,3,5,8,6,45,0,9,24,33,12,0,0,0,0,0,0,59,0,12,29,41,18
23,Jammu and Kashmir,Reasi,56,0,2,3,5,51,108,0,10,13,23,85,0,0,0,0,0,0,164,0,12,16,28,136
24,Jammu and Kashmir,Samba,49,0,0,4,4,45,120,2,2,19,23,97,0,0,0,0,0,0,169,2,2,23,27,142
25,Jammu and Kashmir,Shopian,23,0,0,4,4,19,29,0,7,9,16,13,0,0,0,0,0,0,52,0,7,13,20,32
