Sl. No,State/UT,District,Male - Total Male,Male - Male_Below 12 years,Male - Male_12 years & Above_Below 16 years,Male - Male_16 years & Above_Below 18 years,Male - Male_Children,Male - Male_18 years & Above,Female - Total Female,Female - Female_Below 12 years,Female - Female_12 years & Above_Below 16 years,Female - Female_16 years & Above_Below 18 years,Female - Female_Children,Female - Female_18 years & Above,Transgender - Total Transgender,Transgender - Transgender_Below 12 years,Transgender - Transgender_12 years & Above_Below 16 years,Transgender - Transgender_16 years & Above_Below 18 years,Transgender - Transgender_Children,Transgender - Transgender_18 years & Above,Total - Grand Total,Total - Total_Below 12 years,Total - Total_12 years & Above_Below 14 years,Total - Total_14 years & Above_Below 18 years,Total - Total_Children,Total - Total_18 years & Above
5,Tamil Nadu,Cuddalore,216,6,10,3,19,197,784,4,23,27,54,730,0,0,0,0,0,0,1000,10,33,30,73,927
6,Tamil Nadu,Dharmapuri,57,8,8,5,21,36,255,12,14,72,98,157,0,0,0,0,0,0,312,20,22,77,119,193
7,Tamil Nadu,Dindigul,200,32,15,13,60,140,626,43,27,147,217,409,0,0,0,0,0,0,826,75,42,160,277,549
8,Tamil Nadu,Erode,150,25,22,7,54,96,347,25,69,92,186,161,0,0,0,0,0,0,497,50,91,99,240,257
9,Tamil Nadu,Kanchipuram,97,5,0,8,13,84,303,3,3,48,54,249,0,0,0,0,0,0,400,8,3,56,67,333
10,Tamil Nadu,Kanyakumari,192,40,3,2,45,147,285,42,0,8,50,235,0,0,0,0,0,0,477,82,3,10,95,382
11,Tamil Nadu,Karur,72,13,5,9,27,45,250,10,14,51,75,175,0,0,0,0,0,0,322,23,19,60,102,220
12,Tamil Nadu,Krishnagiri,175,22,10,12,44,131,292,14,29,67,110,182,0,0,0,0,0,0,467,36,39,79,154,313
13,Tamil Nadu,Madurai,204,12,21,21,54,150,601,18,39,143,200,401,0,0,0,0,0,0,805,30,60,164,254,551
14,Tamil Nadu,Madurai City,313,43,19,17,79,234,576,42,25,64,131,445,0,0,0,0,0,0,889,85,44,81,210,679
15,Tamil Nadu,Nagapattinam,121,15,12,6,33,88,347,17,15,51,83,264,0,0,0,0,0,0,468,32,27,57,116,352
16,Tamil Nadu,Namakkal,173,27,16,14,57,116,423,34,17,63,114,309,0,0,0,0,0,0,596,61,33,77,171,425
17,Tamil Nadu,Nilgiris,42,3,5,1,9,33,112,9,17,17,43,69,0,0,0,0,0,0,154,12,22,18,52,102
18,Tamil Nadu,Perambalur,47,10,0,2,12,35,149,3,14,27,44,105,0,0,0,0,0,0,196,13,14,29,56,140
19,Tamil Nadu,Pudukottai,148,3,10,7,20,128,551,0,26,51,77,474,0,0,0,0,0,0,699,3,36,58,97,602
20,Tamil Nadu,Ramnathapuram,84,14,3,5,22,62,234,15,2,11,28,206,0,0,0,0,0,0,318,29,5,16,50,268
21,Tamil Nadu,Railway Chennai,12,1,0,0,1,11,15,1,1,3,5,10,0,0,0,0,0,0,27,2,1,3,6,21
22,Tamil Nadu,Railway Trichy,9,2,0,0,2,7,12,0,0,2,2,10,0,0,0,0,0,0,21,2,0,2,4,17
23,Tamil Nadu,Salem,124,21,16,7,44,80,445,44,68,48,160,285,0,0,0,0,0,0,569,65,84,55,204,365
24,Tamil Nadu,Salem City,180,23,17,3,43,137,332,22,16,9,47,285,1,0,0,0,0,1,513,45,33,12,90,423
25,Tamil Nadu,Sivagangai,106,15,6,10,31,75,369,19,25,55,99,270,0,0,0,0,0,0,475,34,31,65,130,345
