district,missing_rate,female_ratio,literacy_rate,workers_ratio,male_total,female_total,child_total,risk_score,state
shivpuri,0.008921012163703277,0.46710987514846036,0.5219118797253846,0.43989513629385013,2130.0,1513.0,858.0,0.8560559785534109,Madhya Pradesh
shrawasti,0.0008738297039146384,0.4684824331617087,0.37885070268248133,0.36134695948757833,144.0,87.0,61.0,0.9911387812705389,Uttar Pradesh
shupiyan,0.003143699314342911,0.4873316680126965,0.5127434592340777,0.3295118607140845,124.0,74.0,73.0,0.9527211727392971,Jammu Kashmir
siddharthnagar,0.001279939221137134,0.49396455354732177,0.4801810809765338,0.3434138359088453,443.0,332.0,39.0,0.854698693553279,Uttar Pradesh
sidhi,0.0,0.48900165301282217,0.5330677983697016,0.40971293653335794,0.0,0.0,0.0,0.8394863853123314,Madhya Pradesh
sikar,0.0064348750263312215,0.4864329539881666,0.617075649536311,0.3759353057688379,2277.0,1799.0,669.0,0.9081976469405996,Rajasthan
simdega,0.0,0.4991327233487553,0.5728745884605506,0.48141359422794033,0.0,0.0,0.0,0.8693141610087878,Jharkh
sindhudurg,0.0034922463464671883,0.5088195035373347,0.7839301077736623,0.40861247735835066,439.0,263.0,35.0,0.315055504309719,Maharashtra
singrauli,0.007956534463688995,0.479206431786182,0.49653518327246743,0.4238737542148551,1274.0,944.0,564.0,0.87675960896423,Madhya Pradesh
sirmaur,0.006465532732086321,0.4785573411593738,0.6844230968849968,0.5286031083975805,492.5,318.0,146.5,0.5526657619239438,Himachal Pradesh
sirohi,0.009992396102428337,0.4845051749126257,0.46008379440843117,0.4051050517877234,1319.0,1131.0,326.0,0.9999968597084526,Rajasthan
sirsa,0.009512917803093109,0.47298656798351435,0.6044654486719698,0.3875905369795451,1659.0,1256.0,509.0,0.9673848212480097,Haryana
sitamarhi,0.002891448781170905,0.4732837671976712,0.4196766303284229,0.32556124097215366,1242.0,1100.0,1118.0,0.9992776516419755,Bihar
sitapur,0.0009303806213586815,0.4702791619610383,0.5093080005495103,0.3172623858383333,644.0,343.0,238.0,0.7313469029825779,Uttar Pradesh
sivaganga,0.006050860087277719,0.50065603714731,0.7167077016595462,0.46312488751781977,1080.0,837.0,489.0,0.9424929162955737,Tamil Nadu
sivasagar,0.0,0.4881056426740802,0.7067503583684462,0.42197732505104035,0.0,0.0,0.0,0.8070616115699158,Assam
siwan,0.001950641485268558,0.4970400520768277,0.5795513778260326,0.2799657945559538,821.0,716.0,796.0,0.9253443830413286,Bihar
solan,0.005397081821707723,0.4679590570719603,0.7385201268265784,0.514779776674938,448.0,293.0,181.0,0.8593817397799942,Himachal Pradesh
solapur,0.003948990872784285,0.4840254984302031,0.6741177593175715,0.4396716720444601,2528.5,1505.5,26.5,0.5530896343120901,Maharashtra
sonbhadra,0.0017541946721495432,0.4784895404655638,0.5292224300008751,0.3921481145026815,459.0,314.0,127.0,0.6188401539534706,Uttar Pradesh
sonipat,0.01286102357900124,0.46117347505277584,0.6884933182804701,0.3608128546118244,2657.0,1755.0,958.0,0.9229778016852835,Haryana
sonitpur,0.0,0.48864462011007687,0.576147933330215,0.40049997141535565,0.0,0.0,0.0,0.8279075879686015,Assam
south,0.07002200332247649,0.47038137364856003,0.7438264036193031,0.4237048242180321,2851.3333333333335,1766.0,1034.0,0.43194184817386466,Sikkim
south aman,0.008164510792372225,0.4655163725844244,0.7989602842001831,0.40661034172888444,294.0,166.0,110.0,0.0,Aman Nicobar Isls
south garo hills,5.939223568804503e-05,0.4859274663818905,0.5765453089212697,0.37284837073362653,2.0,0.0,2.6666666666666665,0.9212966142585417,Meghalaya
south goa,0.006169865857541999,0.49657396840463547,0.7843840402662141,0.38965742806426484,623.0,312.0,51.0,0.9999960070141137,Goa
south tripura,0.0037056547174924752,0.48910560604382874,0.7383667370242728,0.41877235299959703,442.0,326.0,106.0,0.9884100002244952,Tripura
south west,0.0112943206384035,0.4565770502556087,0.779643150899406,0.3468672343758586,3801.0,2326.0,1605.5,0.2595806095606842,Delhi
sri potti sriramulu nellore,0.004415663800765623,0.4962222761364131,0.6182398381404508,0.44357540617575436,1812.0,1284.0,968.0,0.9594710844753153,Hra Pradesh
srikakulam,0.0035979952798227315,0.5036324772096182,0.5532067829917643,0.47733391932415725,1332.5,968.5,681.0,0.9946609578964356,Hra Pradesh
srinagar,0.0033969179521080397,0.4735537410587882,0.6052445406761969,0.32921931811107275,701.0,293.0,79.0,0.8857251639800966,Jammu Kashmir
sultanpur,0.00011688092832197839,0.49577903446219856,0.589895439092343,0.32725670554791964,80.0,25.0,29.0,0.573833883620952,Uttar Pradesh
sundargarh,0.0,0.49310774577883165,0.6412048702683673,0.41712599901501696,0.0,0.0,0.0,0.5802573169792656,Odisha
supaul,0.0013519884652347049,0.4817211257041034,0.46354767625688853,0.39374251932190735,369.0,344.0,338.0,0.9459433322113364,Bihar
surat,0.002577906528024001,0.44054532879528496,0.7517131965714033,0.4198991600839423,2343.0,1366.0,725.3333333333334,0.5494472984108141,Gujarat
surendranagar,0.0005174352410909877,0.4819031036265536,0.6226988136207002,0.41195307322117125,132.0,83.0,16.0,0.9241252523146651,Gujarat
surguja,0.004037115925376828,0.494412441956942,0.5033891467638691,0.4897723873102345,1286.0,968.0,498.0,0.9174341834254783,Chhattisgarh
tamenglong,0.0,0.48545691107777406,0.6043753688206981,0.5024848739077575,0.0,0.0,0.0,0.9572191525614786,Manipur
tapi,0.000460898856381334,0.5016393605130963,0.607215168855372,0.558723306180005,60.0,28.0,0.0,0.9030802554178945,Gujarat
tarn taran,0.0013628315257074074,0.47360236936051026,0.5949856514714276,0.3400257407154347,233.0,128.0,11.0,0.9956724366443658,Punjab
tawang,0.0,0.4167116873761931,0.5216999819917162,0.5714828821257778,0.0,0.0,0.0,0.7889373763942635,Arunachal Pradesh
tehri garhwal,0.0026292193900875446,0.5185473017186084,0.6591914122898999,0.45310705070516744,233.0,152.0,89.0,0.9468087357967392,Uttarakh
thane,0.0034709855086902837,0.46971071273187304,0.7438563209099914,0.40621219535217795,5898.5,3184.0,813.0,0.4601980002274712,Maharashtra
thanjavur,0.005734330439985633,0.5085328090644211,0.7444222304427883,0.4048726250992356,1876.0,1388.0,851.0,0.9577796533249732,Tamil Nadu
the nilgiris,0.0018018797119172582,0.5102720446454554,0.7746146963396492,0.4758999937448497,180.0,133.5,93.0,0.8828918384383948,Tamil Nadu
theni,0.008778207724930934,0.49780600193113567,0.6983551636208072,0.474871558609486,1508.0,1079.5,716.0,0.9605287226341719,Tamil Nadu
thiruvallur,0.0033491207377051697,0.49677852334591527,0.7488313094269903,0.4125566239568424,1684.0,1270.0,630.0,0.9315248961697008,Tamil Nadu
thiruvarur,0.002714701759674038,0.5043072048293215,0.7486262899665184,0.427254470341547,445.0,367.0,161.0,0.919555804938779,Tamil Nadu
thoothukkudi,0.006595508865864643,0.5057519929424241,0.7711778701113488,0.427439868904613,1599.0,1132.0,580.0,0.9257256934559093,Tamil Nadu
thoubal,0.0012014460320662204,0.5005661253339903,0.6379071838699285,0.46265704648386424,74.0,46.0,34.0,0.9654392141547725,Manipur
thrissur,0.0023292450493409885,0.525578943995899,0.8581789055491478,0.351059528386518,1106.0,614.0,219.0,0.9237239110207273,Kerala
tikamgarh,0.004123915041225473,0.4738632101779311,0.5175460812114318,0.45345517400769186,790.0,620.0,460.0,0.8394937618860527,Madhya Pradesh
